Id,Start time,Completion time,Email,Name,"Duke klikuar me poshte, konfirmoj qe kam lexuar informacionin me siper dhe jap pelqimin tim per pjesemarrje ne kete studim.
",Gjinia juaj,Mosha juaj,Niveli me i larte i arsimit qe keni perfunduar,Statusi juaj aktual i punesimit,Ne cfare fushe punoni apo keni studiuar?,"Ku jetoni aktualisht?
",Cila eshte banka juaj kryesore? (ajo qe perdorni me shume),Sa kohe keni qe jeni klient/e e kesaj banke?,Cilat sherbime bankare digjitale perdorni aktualisht?,Sa shpesh i perdorni sherbimet bankare digjitale?,Sa te kenaqur jeni me sherbimet digjitale te bankes suaj?,A keni ndervepruar ndonjehere me nje chatbot (asistent virtual) ne faqen ose aplikacionin e bankes suaj?,Sa pajtoheni me pohimet e meposhtme mbi inteligjencen artificiale (IA) ne banka?.Kam njohuri te mjaftueshme mbi inteligjencen artificiale dhe mundesite e saj,Sa pajtoheni me pohimet e meposhtme mbi inteligjencen artificiale (IA) ne banka?.Besoj se IA mund te permiresoje cilesine e sherbimeve bankare,Sa pajtoheni me pohimet e meposhtme mbi inteligjencen artificiale (IA) ne banka?.Do te ndihesha rehat nese nje sistem IA do te vleresonte kerkesen time per kredi,Sa pajtoheni me pohimet e meposhtme mbi inteligjencen artificiale (IA) ne banka?.Do te preferoja te nderveproja me nje chatbot IA per pyetje te thjeshta bankare,Sa pajtoheni me pohimet e meposhtme mbi inteligjencen artificiale (IA) ne banka?.Jam i/e shqetesuar per privatesine e te dhenave te mia nese banka perdor IA,Sa pajtoheni me pohimet e meposhtme mbi inteligjencen artificiale (IA) ne banka?.Mendoj se IA do te zevendesoje shume nga punet aktuale ne banka,Sa pajtoheni me pohimet e meposhtme mbi gatishmerine tuaj per te perdorur IA ne banka?.Jam i gatshem te perdor nje aplikacion bankar me rekomandime te personalizuara nga IA,Sa pajtoheni me pohimet e meposhtme mbi gatishmerine tuaj per te perdorur IA ne banka?.Besimi im ne bankat shqiptare do te rritej nese IA do te zbulonte mashtrimet ne llogarite e mia me shpejt,Sa pajtoheni me pohimet e meposhtme mbi gatishmerine tuaj per te perdorur IA ne banka?.Do te pranoja keshillim financiar te gjeneruar nga IA nese do te ishte falas,Sa pajtoheni me pohimet e meposhtme mbi gatishmerine tuaj per te perdorur IA ne banka?.Transparenca mbi menyren se si IA merr vendime eshte e rendesishme per mua,Sa pajtoheni me pohimet e meposhtme mbi gatishmerine tuaj per te perdorur IA ne banka?.Do te preferoja nje banke qe perdor IA per sherbime me te shpejta ndaj nje banke qe nuk e perdor,Sa pajtoheni me pohimet e meposhtme mbi gatishmerine tuaj per te perdorur IA ne banka?.Do te ndihesha me i/e sigurt nese nje punonjes njerezor do te verifikonte vendimet e IA,"Sa pajtoheni me pohimet e meposhtme mbi gatishmerine tuaj per te perdorur IA ne banka?.Ne pergjithesi, jam gati te provoj sherbime bankare qe perdorin inteligjencen artificiale",Sa pajtoheni me pohimet e meposhtme mbi gatishmerine tuaj per te perdorur IA ne banka?.Jam i gatshem te perdor nje aplikacion bankar me rekomandime te personalizuara nga IA1,Sa pajtoheni me pohimet e meposhtme mbi gatishmerine tuaj per te perdorur IA ne banka?.Besimi im ne bankat shqiptare do te rritej nese IA do te zbulonte mashtrimet ne llogarite e mia me shpejt1,Sa pajtoheni me pohimet e meposhtme mbi gatishmerine tuaj per te perdorur IA ne banka?.Do te pranoja keshillim financiar te gjeneruar nga IA nese do te ishte falas1,Sa pajtoheni me pohimet e meposhtme mbi gatishmerine tuaj per te perdorur IA ne banka?.Transparenca mbi menyren se si IA merr vendime eshte e rendesishme per mua1,Sa pajtoheni me pohimet e meposhtme mbi gatishmerine tuaj per te perdorur IA ne banka?.Do te preferoja nje banke qe perdor IA per sherbime me te shpejta ndaj nje banke qe nuk e perdor1,Sa pajtoheni me pohimet e meposhtme mbi gatishmerine tuaj per te perdorur IA ne banka?.Do te ndihesha me i/e sigurt nese nje punonjes njerezor do te verifikonte vendimet e IA1,"Sa pajtoheni me pohimet e meposhtme mbi gatishmerine tuaj per te perdorur IA ne banka?.Ne pergjithesi, jam gati te provoj sherbime bankare qe perdorin inteligjencen artificiale1",Sa pajtoheni me pohimet e meposhtme mbi shqetesimet tuaja per perdorimin e IA ne banka?.Mungesa e njohurive te mia mbi IA me pengon te perdor sherbime te tilla,Sa pajtoheni me pohimet e meposhtme mbi shqetesimet tuaja per perdorimin e IA ne banka?.Kam frike se te dhenat e mia personale mund te keqperdoren nese banka perdor IA,"Sa pajtoheni me pohimet e meposhtme mbi shqetesimet tuaja per perdorimin e IA ne banka?.Preferoj te flas me nje njeri, jo me nje robot, kur kam ceshtje bankare",Sa pajtoheni me pohimet e meposhtme mbi shqetesimet tuaja per perdorimin e IA ne banka?.Nuk besoj se IA mund te marre vendime te sakta financiare,Sa pajtoheni me pohimet e meposhtme mbi shqetesimet tuaja per perdorimin e IA ne banka?.Kostot e mundshme shtese per sherbimet me IA me shqetesojne,A keni ndonje koment ose sugjerim shtese mbi perdorimin e inteligjences artificiale ne sherbimet bankare ne Shqiperi?
11,46173.35902777778,46173.363599537035,anonymous,,"Po, jap pelqimin tim",Femer,26-35,Bachelor,I/e punesuar,Arsim,Elbasan,BKT (Banka Kombetare Tregtare),Mbi 5 vjet,"Karta debiti/krediti per pagesa online;E-wallet (EasyPay, M-Pay, E-Posta, etj.);",Disa here ne jave,3,Jo,Pajtohem,Pajtohem plotesisht,Pajtohem,Pajtohem plotesisht,Pajtohem plotesisht,Neutral,Pajtohem plotesisht,Neutral,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem,Pajtohem plotesisht,Pajtohem,Pajtohem plotesisht,Nuk pajtohem,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem,Pajtohem plotesisht,Pajtohem plotesisht,Nuk pajtohem,Pajtohem,Neutral,Pajtohem,Pajtohem plotesisht,"Sherbimet me IA mund te ndihmojne, por vendimet e rendesishme duhet te verifikohen nga punonjesit e bankes."
12,46173.36111111111,46173.3644212963,anonymous,,"Po, jap pelqimin tim",Femer,46-55,Arsim baze (9-vjecar),I/e punesuar,Ndertim / Inxhinieri,Qytet tjeter,Intesa Sanpaolo Bank,3-5 vjet,Nuk perdor asnje sherbim digjital bankar;,Rralle ose kurre,2,Po,Nuk pajtohem aspak,Nuk pajtohem,Nuk pajtohem,Nuk pajtohem,Pajtohem plotesisht,Pajtohem plotesisht,Nuk pajtohem,Nuk pajtohem aspak,Neutral,Pajtohem,Nuk pajtohem,Pajtohem plotesisht,Neutral,Nuk pajtohem,Nuk pajtohem aspak,Neutral,Pajtohem,Nuk pajtohem,Pajtohem plotesisht,Neutral,Pajtohem,Pajtohem,Pajtohem plotesisht,Pajtohem,Neutral,Per ceshtje bankare preferoj te flas me nje person dhe jo me sistem automatik.
13,46173.361805555556,46173.36300925926,anonymous,,"Po, jap pelqimin tim",Mashkull,26-35,Doktorature,I/e punesuar,Bujqesi,Tirane,Raiffeisen Bank,3-5 vjet,"Mobile banking (aplikacioni i bankes ne telefon);E-wallet (EasyPay, M-Pay, E-Posta, etj.);",Cdo dite,4,Po,Pajtohem plotesisht,Pajtohem plotesisht,Neutral,Pajtohem,Neutral,Neutral,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem,Neutral,Pajtohem,Pajtohem,Pajtohem,Pajtohem,Pajtohem plotesisht,Pajtohem,Neutral,Pajtohem,Pajtohem,Pajtohem,Nuk pajtohem aspak,Nuk pajtohem,Nuk pajtohem aspak,Nuk pajtohem aspak,Nuk pajtohem aspak,Do ta provoja nese banka e shpjegon qarte si ruhen te dhenat dhe si kontrollohen vendimet.
14,46173.36319444444,46173.36671296296,anonymous,,"Po, jap pelqimin tim",Mashkull,46-55,Arsim i mesem (gjimnaz/profesional),I/e punesuar,Ndertim / Inxhinieri,Tirane,BKT (Banka Kombetare Tregtare),1-3 vjet,"Mobile banking (aplikacioni i bankes ne telefon);Internet banking (permes kompjuterit/browserit);Karta debiti/krediti per pagesa online;E-wallet (EasyPay, M-Pay, E-Posta, etj.);",Disa here ne jave,4,Po,Pajtohem plotesisht,Pajtohem,Pajtohem plotesisht,Pajtohem plotesisht,Neutral,Nuk pajtohem,Pajtohem,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem,Pajtohem plotesisht,Pajtohem,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem,Pajtohem plotesisht,Nuk pajtohem aspak,Neutral,Nuk pajtohem aspak,Nuk pajtohem aspak,Nuk pajtohem,"IA mund te rrise shpejtesine e sherbimeve bankare, sidomos per rekomandime dhe zbulim mashtrimesh."
15,46173.36597222222,46173.36864583333,anonymous,,"Po, jap pelqimin tim",Femer,18-25,Master,I/e punesuar,Finance / Banke / Sigurime,Korce,Tirana Bank,1-3 vjet,Internet banking (permes kompjuterit/browserit);,Nje here ne jave,3,Po,Nuk pajtohem,Pajtohem,Pajtohem,Pajtohem,Pajtohem plotesisht,Pajtohem plotesisht,Neutral,Pajtohem plotesisht,Neutral,Pajtohem plotesisht,Nuk pajtohem,Pajtohem,Nuk pajtohem aspak,Neutral,Pajtohem plotesisht,Neutral,Pajtohem plotesisht,Nuk pajtohem,Pajtohem,Nuk pajtohem aspak,Pajtohem,Nuk pajtohem,Pajtohem plotesisht,Pajtohem plotesisht,Neutral,"IA mund te perdoret per pyetje te thjeshta, por jo per vendime financiare te rendesishme."
16,46173.368055555555,46173.36958333333,anonymous,,"Po, jap pelqimin tim",Femer,36-45,Bachelor,I/e punesuar,Administrate publike,Durres,Raiffeisen Bank,Me pak se 1 vit,Karta debiti/krediti per pagesa online;,Disa here ne muaj,3,Jo,Nuk pajtohem,Neutral,Nuk pajtohem,Neutral,Pajtohem,Pajtohem,Nuk pajtohem,Nuk pajtohem aspak,Nuk pajtohem,Pajtohem,Neutral,Pajtohem,Nuk pajtohem,Nuk pajtohem aspak,Nuk pajtohem aspak,Nuk pajtohem,Pajtohem,Neutral,Pajtohem,Nuk pajtohem,Nuk pajtohem,Pajtohem,Pajtohem,Pajtohem,Neutral,Per ceshtje bankare preferoj te flas me nje person dhe jo me sistem automatik.
17,46173.37013888889,46173.37157407407,anonymous,,"Po, jap pelqimin tim",Femer,36-45,Master,I/e vetepunesuar,Tregti / Sherbime,Durres,Raiffeisen Bank,Mbi 5 vjet,Karta debiti/krediti per pagesa online;,Cdo dite,4,Po,Neutral,Neutral,Neutral,Neutral,Pajtohem plotesisht,Pajtohem,Neutral,Pajtohem,Neutral,Pajtohem plotesisht,Neutral,Pajtohem plotesisht,Neutral,Nuk pajtohem,Pajtohem,Neutral,Pajtohem plotesisht,Nuk pajtohem,Pajtohem plotesisht,Nuk pajtohem,Neutral,Neutral,Pajtohem,Neutral,Neutral,Do ta provoja nese banka e shpjegon qarte si ruhen te dhenat dhe si kontrollohen vendimet.
18,46173.37222222222,46173.3740625,anonymous,,"Po, jap pelqimin tim",Femer,36-45,Arsim baze (9-vjecar),I/e vetepunesuar,Ndertim / Inxhinieri,Zone rurale,Raiffeisen Bank,3-5 vjet,Nuk perdor asnje sherbim digjital bankar;,Rralle ose kurre,3,Jo,Neutral,Nuk pajtohem,Neutral,Pajtohem,Pajtohem,Pajtohem,Pajtohem,Neutral,Neutral,Pajtohem plotesisht,Nuk pajtohem,Pajtohem plotesisht,Pajtohem,Pajtohem,Neutral,Pajtohem,Pajtohem plotesisht,Nuk pajtohem,Pajtohem,Pajtohem,Neutral,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem,"IA mund te perdoret per pyetje te thjeshta, por jo per vendime financiare te rendesishme."
19,46173.37430555555,46173.378287037034,anonymous,,"Po, jap pelqimin tim",Mashkull,26-35,Arsim i mesem (gjimnaz/profesional),I/e punesuar,Tregti / Sherbime,Tirane,Credins Bank,3-5 vjet,Mobile banking (aplikacioni i bankes ne telefon);,Disa here ne jave,3,Nuk jam i/e sigurt,Nuk pajtohem,Pajtohem,Pajtohem,Neutral,Pajtohem,Pajtohem plotesisht,Nuk pajtohem,Neutral,Neutral,Neutral,Nuk pajtohem,Pajtohem,Nuk pajtohem,Nuk pajtohem,Pajtohem,Neutral,Neutral,Nuk pajtohem,Pajtohem,Nuk pajtohem,Neutral,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem,"Jam i hapur ndaj IA, por privatesia dhe transparenca jane kushtet kryesore."
20,46173.376388888886,46173.37946759259,anonymous,,"Po, jap pelqimin tim",Mashkull,46-55,Arsim i mesem (gjimnaz/profesional),I/e papune,Tregti / Sherbime,Elbasan,Credins Bank,3-5 vjet,Karta debiti/krediti per pagesa online;,Cdo dite,4,Po,Neutral,Pajtohem plotesisht,Pajtohem plotesisht,Pajtohem,Pajtohem,Pajtohem,Pajtohem,Pajtohem plotesisht,Neutral,Neutral,Pajtohem,Pajtohem,Pajtohem plotesisht,Pajtohem,Pajtohem plotesisht,Neutral,Neutral,Pajtohem,Neutral,Pajtohem plotesisht,Neutral,Pajtohem,Nuk pajtohem,Neutral,Nuk pajtohem,Do ta provoja nese banka e shpjegon qarte si ruhen te dhenat dhe si kontrollohen vendimet.
