id,synthetic,archetype,validation_confidence,archetype_distance,gender,age,education,employment,field,location,bank,tenure,digital_services,digital_frequency,digital_satisfaction,chatbot_interaction,perceived_usefulness,adoption_readiness,barriers,trust_privacy_barrier,governance_need,q14_1_ai_knowledge,q14_2_service_quality,q14_3_ai_credit_eval,q14_4_chatbot_preference,q14_5_privacy_concern,q14_6_job_replacement,q15_1_personalized_app,q15_2_fraud_detection_trust,q15_3_free_ai_advice,q15_4_transparency,q15_5_faster_ai_bank,q15_6_human_verification,q15_7_overall_readiness,q16_1_personalized_app,q16_2_fraud_detection_trust,q16_3_free_ai_advice,q16_4_transparency,q16_5_faster_ai_bank,q16_6_human_verification,q16_7_overall_readiness,q17_1_lack_knowledge,q17_2_data_misuse,q17_3_human_preference,q17_4_inaccurate_decisions,q17_5_extra_costs,comment
11,True,Cautious User,0.803,0.592,Femer,26-35,Bachelor,I/e punesuar,Arsim,Elbasan,BKT (Banka Kombetare Tregtare),Mbi 5 vjet,"Karta debiti/krediti per pagesa online|E-wallet (EasyPay, M-Pay, E-Posta, etj.)",Disa here ne jave,3,Jo,4.0,4.5,3.833,4.333,4.5,4,5,4,5,5,3,5,3,5,5,4,5,4,5,2,5,5,4,5,5,2,4,3,4,5,"Sherbimet me IA mund te ndihmojne, por vendimet e rendesishme duhet te verifikohen nga punonjesit e bankes."
12,True,Traditionalist,0.834,0.498,Femer,46-55,Arsim baze (9-vjecar),I/e punesuar,Ndertim / Inxhinieri,Qytet tjeter,Intesa Sanpaolo Bank,3-5 vjet,Nuk perdor asnje sherbim digjital bankar,Rralle ose kurre,2,Po,1.667,2.5,4.167,4.333,4.25,1,2,2,2,5,5,2,1,3,4,2,5,3,2,1,3,4,2,5,3,4,4,5,4,3,Per ceshtje bankare preferoj te flas me nje person dhe jo me sistem automatik.
13,True,Early Adopter,0.665,1.005,Mashkull,26-35,Doktorature,Student/e,Bujqesi,Tirane,Raiffeisen Bank,3-5 vjet,"Mobile banking (aplikacioni i bankes ne telefon)|E-wallet (EasyPay, M-Pay, E-Posta, etj.)",Cdo dite,4,Po,4.333,4.25,1.5,2.0,2.5,5,5,3,4,3,3,5,5,4,3,4,4,4,4,5,4,3,4,4,4,1,2,1,1,1,Do ta provoja nese banka e shpjegon qarte si ruhen te dhenat dhe si kontrollohen vendimet.
14,True,Early Adopter,0.791,0.626,Mashkull,46-55,Arsim i mesem (gjimnaz/profesional),I/e punesuar,Ndertim / Inxhinieri,Tirane,BKT (Banka Kombetare Tregtare),1-3 vjet,"Mobile banking (aplikacioni i bankes ne telefon)|Internet banking (permes kompjuterit/browserit)|Karta debiti/krediti per pagesa online|E-wallet (EasyPay, M-Pay, E-Posta, etj.)",Disa here ne jave,4,Po,4.667,4.75,1.833,2.333,3.25,5,4,5,5,3,2,4,5,5,5,5,4,5,4,5,5,5,5,4,5,1,3,1,1,2,"IA mund te rrise shpejtesine e sherbimeve bankare, sidomos per rekomandime dhe zbulim mashtrimesh."
15,True,Traditionalist,0.709,0.873,Femer,18-25,Master,I/e punesuar,Finance / Banke / Sigurime,Korce,Tirana Bank,1-3 vjet,Internet banking (permes kompjuterit/browserit),Nje here ne jave,3,Po,4.333,2.25,4.0,4.0,4.0,2,4,4,4,5,5,3,5,3,5,2,4,1,3,5,3,5,2,4,1,4,2,5,5,3,"IA mund te perdoret per pyetje te thjeshta, por jo per vendime financiare te rendesishme."
16,True,Traditionalist,0.894,0.318,Femer,36-45,Bachelor,I/e papune,Administrate publike,Durres,Raiffeisen Bank,Me pak se 1 vit,Karta debiti/krediti per pagesa online,Disa here ne muaj,3,Jo,2.0,2.25,3.5,4.0,4.0,2,3,2,3,4,4,2,1,2,4,3,4,2,1,1,2,4,3,4,2,2,4,4,4,3,Per ceshtje bankare preferoj te flas me nje person dhe jo me sistem automatik.
17,True,Early Adopter,0.678,0.967,Femer,36-45,Master,I/e dale ne pension,Tregti / Sherbime,Durres,Raiffeisen Bank,Mbi 5 vjet,Karta debiti/krediti per pagesa online,Cdo dite,4,Po,3.333,3.0,3.5,3.667,4.0,3,3,3,3,5,4,3,4,3,5,3,5,3,2,4,3,5,2,5,2,3,3,4,3,3,Do ta provoja nese banka e shpjegon qarte si ruhen te dhenat dhe si kontrollohen vendimet.
18,True,Traditionalist,0.769,0.694,Femer,36-45,Arsim baze (9-vjecar),I/e dale ne pension,Ndertim / Inxhinieri,Zone rurale,Raiffeisen Bank,3-5 vjet,Nuk perdor asnje sherbim digjital bankar,Rralle ose kurre,3,Jo,2.667,3.25,4.333,4.667,5.0,3,2,3,4,4,4,4,3,3,5,2,5,4,4,3,4,5,2,4,4,3,5,5,5,4,"IA mund te perdoret per pyetje te thjeshta, por jo per vendime financiare te rendesishme."
19,True,Cautious User,0.784,0.647,Mashkull,26-35,Arsim i mesem (gjimnaz/profesional),I/e punesuar,Tregti / Sherbime,Tirane,Credins Bank,3-5 vjet,Mobile banking (aplikacioni i bankes ne telefon),Disa here ne jave,3,Nuk jam i/e sigurt,3.667,2.25,4.333,4.667,4.25,2,4,4,3,4,5,2,3,3,3,2,4,2,2,4,3,3,2,4,2,3,5,5,5,4,"Jam i hapur ndaj IA, por privatesia dhe transparenca jane kushtet kryesore."
20,True,Early Adopter,0.811,0.566,Mashkull,46-55,Arsim i mesem (gjimnaz/profesional),Student/e,Ndertim / Inxhinieri,Elbasan,Credins Bank,3-5 vjet,Karta debiti/krediti per pagesa online,Cdo dite,4,Po,5.0,4.0,3.0,3.667,3.5,3,5,5,4,4,4,4,5,3,3,4,4,5,4,5,3,3,4,3,5,3,4,2,3,2,Do ta provoja nese banka e shpjegon qarte si ruhen te dhenat dhe si kontrollohen vendimet.
21,True,Cautious User,0.801,0.597,Mashkull,18-25,Master,I/e papune,Administrate publike,Tirane,Tirana Bank,Me pak se 1 vit,"Mobile banking (aplikacioni i bankes ne telefon)|Internet banking (permes kompjuterit/browserit)|Karta debiti/krediti per pagesa online|E-wallet (EasyPay, M-Pay, E-Posta, etj.)",Disa here ne jave,2,Po,3.667,2.25,4.167,4.333,4.5,3,3,5,3,5,4,3,3,3,5,2,5,1,3,3,3,5,2,5,1,4,5,3,3,5,"Jam i hapur ndaj IA, por privatesia dhe transparenca jane kushtet kryesore."
22,True,Cautious User,0.781,0.657,Femer,55+,Arsim baze (9-vjecar),I/e vetepunesuar,Ndertim / Inxhinieri,Korce,BKT (Banka Kombetare Tregtare),1-3 vjet,Mobile banking (aplikacioni i bankes ne telefon),Disa here ne jave,4,Jo,4.333,3.25,3.833,4.0,3.75,3,4,4,5,5,5,4,5,2,3,3,5,4,4,5,2,3,3,4,4,4,5,4,2,3,"Sherbimet me IA mund te ndihmojne, por vendimet e rendesishme duhet te verifikohen nga punonjesit e bankes."
23,True,Early Adopter,0.773,0.682,Mashkull,46-55,Master,I/e punesuar,Finance / Banke / Sigurime,Qytet tjeter,BKT (Banka Kombetare Tregtare),Mbi 5 vjet,"Mobile banking (aplikacioni i bankes ne telefon)|Internet banking (permes kompjuterit/browserit)|Karta debiti/krediti per pagesa online|E-wallet (EasyPay, M-Pay, E-Posta, etj.)",Disa here ne jave,4,Po,4.333,4.5,2.833,3.667,3.0,5,4,4,4,5,3,4,5,5,2,4,4,5,4,5,5,1,4,4,5,2,3,2,3,2,Do ta provoja nese banka e shpjegon qarte si ruhen te dhenat dhe si kontrollohen vendimet.
24,True,Cautious User,0.896,0.313,Mashkull,18-25,Arsim i mesem (gjimnaz/profesional),I/e punesuar,Tregti / Sherbime,Zone rurale,OTP Bank,1-3 vjet,Mobile banking (aplikacioni i bankes ne telefon)|Internet banking (permes kompjuterit/browserit)|Karta debiti/krediti per pagesa online,Disa here ne jave,5,Nuk jam i/e sigurt,4.0,3.5,3.333,4.0,4.5,3,5,4,3,4,5,4,3,3,5,4,5,3,4,3,3,5,4,5,3,2,4,3,4,3,"Jam i hapur ndaj IA, por privatesia dhe transparenca jane kushtet kryesore."
25,True,Professional / Expert,0.799,0.604,Mashkull,46-55,Arsim baze (9-vjecar),I/e papune,Tregti / Sherbime,Durres,Intesa Sanpaolo Bank,3-5 vjet,"Mobile banking (aplikacioni i bankes ne telefon)|Internet banking (permes kompjuterit/browserit)|Karta debiti/krediti per pagesa online|E-wallet (EasyPay, M-Pay, E-Posta, etj.)",Disa here ne jave,4,Nuk jam i/e sigurt,4.667,4.75,3.5,3.667,4.0,5,5,4,5,4,4,4,5,5,5,5,4,5,4,5,5,5,5,4,5,3,4,3,3,4,"Potenciali eshte i madh, por bankat duhet te forcojne qeverisjen e te dhenave dhe kontrollin rregullator."
26,True,Traditionalist,0.809,0.573,Femer,36-45,Arsim i mesem (gjimnaz/profesional),I/e punesuar,Bujqesi,Elbasan,Other,Mbi 5 vjet,"Karta debiti/krediti per pagesa online|E-wallet (EasyPay, M-Pay, E-Posta, etj.)",Disa here ne muaj,3,Po,2.667,1.75,3.333,3.333,3.5,2,2,2,1,3,3,2,4,1,4,1,3,3,2,4,1,4,1,3,3,3,5,3,2,4,"IA mund te perdoret per pyetje te thjeshta, por jo per vendime financiare te rendesishme."
27,True,Cautious User,0.726,0.822,Mashkull,46-55,Arsim i mesem (gjimnaz/profesional),I/e dale ne pension,Ndertim / Inxhinieri,Durres,Other,1-3 vjet,Mobile banking (aplikacioni i bankes ne telefon)|Karta debiti/krediti per pagesa online,Nje here ne jave,4,Nuk jam i/e sigurt,4.0,2.75,2.667,3.0,4.5,3,5,3,3,1,4,3,4,3,5,2,5,3,3,4,3,5,2,5,4,2,5,1,3,4,"Jam i hapur ndaj IA, por privatesia dhe transparenca jane kushtet kryesore."
28,True,Early Adopter,0.857,0.428,Mashkull,26-35,Bachelor,I/e punesuar,Shendetesi / Mjekesi,Shkoder,Credins Bank,Me pak se 1 vit,"Mobile banking (aplikacioni i bankes ne telefon)|Internet banking (permes kompjuterit/browserit)|Karta debiti/krediti per pagesa online|E-wallet (EasyPay, M-Pay, E-Posta, etj.)",Disa here ne jave,4,Jo,4.667,4.75,3.0,3.667,3.75,4,4,5,5,4,3,5,5,5,5,5,3,4,5,5,5,5,5,3,4,1,3,3,4,3,"IA mund te rrise shpejtesine e sherbimeve bankare, sidomos per rekomandime dhe zbulim mashtrimesh."
29,True,Cautious User,0.82,0.539,Femer,36-45,Arsim i mesem (gjimnaz/profesional),I/e punesuar,Tregti / Sherbime,Vlore,BKT (Banka Kombetare Tregtare),1-3 vjet,Mobile banking (aplikacioni i bankes ne telefon)|Internet banking (permes kompjuterit/browserit)|Karta debiti/krediti per pagesa online,Nje here ne jave,4,Po,4.0,4.25,4.167,4.667,4.25,4,4,4,4,5,5,3,4,5,4,5,4,4,3,4,4,4,5,4,4,5,5,4,4,2,"Sherbimet me IA mund te ndihmojne, por vendimet e rendesishme duhet te verifikohen nga punonjesit e bankes."
30,True,Early Adopter,0.568,1.295,Mashkull,36-45,Bachelor,I/e dale ne pension,Arsim,Durres,Credins Bank,Mbi 5 vjet,Mobile banking (aplikacioni i bankes ne telefon)|Karta debiti/krediti per pagesa online,Cdo dite,4,Po,2.333,3.75,2.333,2.667,3.0,4,2,2,3,2,3,5,3,4,3,4,3,2,5,3,4,3,4,3,2,1,4,1,2,4,Do ta provoja nese banka e shpjegon qarte si ruhen te dhenat dhe si kontrollohen vendimet.
31,True,Early Adopter,0.771,0.687,Femer,26-35,Arsim i mesem (gjimnaz/profesional),I/e punesuar,Tregti / Sherbime,Zone rurale,OTP Bank,Mbi 5 vjet,"Mobile banking (aplikacioni i bankes ne telefon)|E-wallet (EasyPay, M-Pay, E-Posta, etj.)",Cdo dite,4,Po,4.667,3.5,2.5,2.667,3.25,4,5,5,4,1,2,4,4,4,4,3,2,3,4,4,4,4,3,2,3,3,5,2,2,2,"IA mund te rrise shpejtesine e sherbimeve bankare, sidomos per rekomandime dhe zbulim mashtrimesh."
32,True,Cautious User,0.872,0.385,Preferoj te mos pergjigjem,18-25,Bachelor,I/e punesuar,Finance / Banke / Sigurime,Vlore,Raiffeisen Bank,3-5 vjet,"Mobile banking (aplikacioni i bankes ne telefon)|Karta debiti/krediti per pagesa online|E-wallet (EasyPay, M-Pay, E-Posta, etj.)",Nje here ne jave,2,Nuk jam i/e sigurt,4.0,3.0,4.333,5.0,5.0,3,5,3,4,5,4,3,4,2,5,3,5,4,3,4,2,5,4,5,4,3,5,4,5,4,"Sherbimet me IA mund te ndihmojne, por vendimet e rendesishme duhet te verifikohen nga punonjesit e bankes."
33,True,Cautious User,0.745,0.764,Mashkull,36-45,Arsim i mesem (gjimnaz/profesional),I/e punesuar,Bujqesi,Tirane,OTP Bank,3-5 vjet,Mobile banking (aplikacioni i bankes ne telefon)|Internet banking (permes kompjuterit/browserit)|Karta debiti/krediti per pagesa online,Disa here ne jave,3,Po,4.0,4.0,2.833,3.333,4.0,3,4,3,4,2,4,5,5,3,3,4,5,4,5,5,3,3,4,5,4,1,3,4,5,2,"Sherbimet me IA mund te ndihmojne, por vendimet e rendesishme duhet te verifikohen nga punonjesit e bankes."
34,True,Cautious User,0.573,1.28,Femer,26-35,Master,Student/e,Arsim,Vlore,BKT (Banka Kombetare Tregtare),Mbi 5 vjet,"Mobile banking (aplikacioni i bankes ne telefon)|E-wallet (EasyPay, M-Pay, E-Posta, etj.)",Disa here ne jave,4,Po,5.0,4.0,3.0,3.0,3.25,3,5,5,5,4,3,4,5,4,5,4,3,4,4,5,3,5,4,3,4,4,3,1,2,4,"Jam i hapur ndaj IA, por privatesia dhe transparenca jane kushtet kryesore."
35,True,Cautious User,0.79,0.631,Femer,46-55,Arsim baze (9-vjecar),I/e punesuar,Bujqesi,Zone rurale,BKT (Banka Kombetare Tregtare),1-3 vjet,Mobile banking (aplikacioni i bankes ne telefon)|Karta debiti/krediti per pagesa online,Disa here ne jave,3,Jo,2.667,2.75,3.833,4.333,4.5,3,3,2,3,4,5,3,3,3,5,2,4,3,3,2,3,5,2,4,3,5,5,1,4,4,"Sherbimet me IA mund te ndihmojne, por vendimet e rendesishme duhet te verifikohen nga punonjesit e bankes."
36,True,Cautious User,0.755,0.736,Mashkull,55+,Arsim i mesem (gjimnaz/profesional),I/e papune,Tregti / Sherbime,Durres,Raiffeisen Bank,Mbi 5 vjet,Mobile banking (aplikacioni i bankes ne telefon)|Internet banking (permes kompjuterit/browserit),Cdo dite,3,Jo,3.667,2.25,3.667,4.0,4.0,4,4,3,3,4,4,2,4,1,4,4,4,2,2,4,1,4,5,4,2,2,4,4,4,4,"Jam i hapur ndaj IA, por privatesia dhe transparenca jane kushtet kryesore."
37,True,Cautious User,0.845,0.465,Femer,36-45,Arsim i mesem (gjimnaz/profesional),I/e punesuar,Ndertim / Inxhinieri,Tirane,Credins Bank,1-3 vjet,"Mobile banking (aplikacioni i bankes ne telefon)|E-wallet (EasyPay, M-Pay, E-Posta, etj.)",Nje here ne jave,4,Po,4.333,4.0,4.5,4.333,4.5,3,4,5,4,5,5,5,4,4,5,3,5,4,5,4,5,5,2,5,4,4,4,5,4,5,"Sherbimet me IA mund te ndihmojne, por vendimet e rendesishme duhet te verifikohen nga punonjesit e bankes."
38,True,Early Adopter,0.758,0.727,Femer,26-35,Master,I/e punesuar,Shendetesi / Mjekesi,Qytet tjeter,Raiffeisen Bank,Me pak se 1 vit,"Mobile banking (aplikacioni i bankes ne telefon)|Karta debiti/krediti per pagesa online|E-wallet (EasyPay, M-Pay, E-Posta, etj.)",Nje here ne jave,4,Nuk jam i/e sigurt,5.0,3.75,2.833,3.0,3.0,4,5,5,4,3,5,5,5,3,2,4,4,3,5,5,3,2,4,4,3,2,4,3,2,3,"IA mund te rrise shpejtesine e sherbimeve bankare, sidomos per rekomandime dhe zbulim mashtrimesh."
39,True,Early Adopter,0.841,0.477,Femer,46-55,Arsim i mesem (gjimnaz/profesional),Student/e,Arsim,Vlore,Credins Bank,Mbi 5 vjet,Mobile banking (aplikacioni i bankes ne telefon)|Internet banking (permes kompjuterit/browserit)|Karta debiti/krediti per pagesa online,Cdo dite,4,Nuk jam i/e sigurt,5.0,4.25,2.0,2.667,3.5,5,5,5,4,2,3,3,5,5,4,5,4,4,3,5,5,4,5,4,4,1,3,1,3,2,"IA mund te rrise shpejtesine e sherbimeve bankare, sidomos per rekomandime dhe zbulim mashtrimesh."
40,True,Early Adopter,0.865,0.405,Preferoj te mos pergjigjem,18-25,Bachelor,I/e punesuar,Tregti / Sherbime,Tirane,Credins Bank,1-3 vjet,"Mobile banking (aplikacioni i bankes ne telefon)|Internet banking (permes kompjuterit/browserit)|Karta debiti/krediti per pagesa online|E-wallet (EasyPay, M-Pay, E-Posta, etj.)",Cdo dite,3,Nuk jam i/e sigurt,4.667,3.75,3.0,3.0,3.75,5,5,4,2,3,4,3,5,5,4,4,5,3,3,5,5,4,4,5,3,2,3,4,3,3,Do ta provoja nese banka e shpjegon qarte si ruhen te dhenat dhe si kontrollohen vendimet.
41,True,Cautious User,0.849,0.452,Mashkull,46-55,Arsim baze (9-vjecar),I/e punesuar,Tregti / Sherbime,Tirane,Other,Mbi 5 vjet,"Internet banking (permes kompjuterit/browserit)|Karta debiti/krediti per pagesa online|E-wallet (EasyPay, M-Pay, E-Posta, etj.)",Nje here ne jave,4,Po,3.0,3.25,4.0,5.0,4.75,4,2,3,3,5,5,4,4,3,4,2,5,4,4,4,3,4,2,5,4,3,5,4,5,2,"Jam i hapur ndaj IA, por privatesia dhe transparenca jane kushtet kryesore."
42,True,Traditionalist,0.819,0.544,Mashkull,46-55,Arsim i mesem (gjimnaz/profesional),I/e punesuar,Ndertim / Inxhinieri,Durres,Raiffeisen Bank,1-3 vjet,Nuk perdor asnje sherbim digjital bankar,Rralle ose kurre,3,Jo,3.667,2.25,3.667,4.0,4.0,4,3,4,4,3,4,1,4,2,3,3,4,3,1,4,2,3,3,4,3,3,4,3,5,4,"IA mund te perdoret per pyetje te thjeshta, por jo per vendime financiare te rendesishme."
43,True,Early Adopter,0.81,0.569,Mashkull,26-35,Arsim i mesem (gjimnaz/profesional),I/e papune,Administrate publike,Vlore,OTP Bank,1-3 vjet,"Mobile banking (aplikacioni i bankes ne telefon)|Karta debiti/krediti per pagesa online|E-wallet (EasyPay, M-Pay, E-Posta, etj.)",Cdo dite,5,Jo,4.333,5.0,2.667,3.0,3.25,3,5,4,4,3,3,5,4,5,3,5,4,5,5,4,5,3,5,4,5,2,2,2,4,3,"IA mund te rrise shpejtesine e sherbimeve bankare, sidomos per rekomandime dhe zbulim mashtrimesh."
44,True,Cautious User,0.665,1.005,Mashkull,18-25,Master,I/e punesuar,Teknologji / IT,Tirane,Raiffeisen Bank,1-3 vjet,Mobile banking (aplikacioni i bankes ne telefon)|Internet banking (permes kompjuterit/browserit)|Karta debiti/krediti per pagesa online,Disa here ne jave,4,Jo,4.0,3.0,3.0,3.0,3.5,3,4,4,3,3,5,3,4,3,3,3,5,3,3,4,3,3,3,5,3,3,3,4,3,2,"Sherbimet me IA mund te ndihmojne, por vendimet e rendesishme duhet te verifikohen nga punonjesit e bankes."
45,True,Early Adopter,0.706,0.883,Mashkull,36-45,Arsim i mesem (gjimnaz/profesional),I/e punesuar,Bujqesi,Qytet tjeter,Credins Bank,Mbi 5 vjet,Mobile banking (aplikacioni i bankes ne telefon)|Internet banking (permes kompjuterit/browserit)|Karta debiti/krediti per pagesa online,Nje here ne jave,5,Po,3.667,3.25,3.5,4.0,3.75,4,3,3,3,5,5,3,5,4,5,2,3,4,3,5,4,5,2,3,4,2,3,3,4,4,"IA mund te rrise shpejtesine e sherbimeve bankare, sidomos per rekomandime dhe zbulim mashtrimesh."
46,True,Traditionalist,0.792,0.624,Mashkull,46-55,Bachelor,I/e vetepunesuar,Ndertim / Inxhinieri,Shkoder,Credins Bank,1-3 vjet,Mobile banking (aplikacioni i bankes ne telefon),Rralle ose kurre,3,Jo,1.667,2.25,4.667,4.667,4.75,3,2,2,2,5,4,1,1,3,5,2,5,3,1,1,3,5,2,5,2,5,5,5,4,4,Per ceshtje bankare preferoj te flas me nje person dhe jo me sistem automatik.
47,True,Cautious User,0.758,0.726,Mashkull,26-35,Arsim i mesem (gjimnaz/profesional),I/e punesuar,Ndertim / Inxhinieri,Elbasan,Raiffeisen Bank,3-5 vjet,"Mobile banking (aplikacioni i bankes ne telefon)|Karta debiti/krediti per pagesa online|E-wallet (EasyPay, M-Pay, E-Posta, etj.)",Nje here ne jave,3,Po,3.333,2.0,4.167,4.333,4.75,4,3,3,2,4,5,1,4,2,5,3,5,2,1,4,2,5,3,5,2,3,5,4,4,5,"Sherbimet me IA mund te ndihmojne, por vendimet e rendesishme duhet te verifikohen nga punonjesit e bankes."
48,True,Early Adopter,0.642,1.074,Mashkull,36-45,Arsim i mesem (gjimnaz/profesional),Student/e,Tregti / Sherbime,Elbasan,Credins Bank,Mbi 5 vjet,Mobile banking (aplikacioni i bankes ne telefon)|Internet banking (permes kompjuterit/browserit)|Karta debiti/krediti per pagesa online,Cdo dite,4,Jo,5.0,3.0,1.833,1.667,3.5,4,5,5,3,1,3,3,5,3,5,4,5,2,3,5,3,5,4,5,2,1,2,1,2,4,Do ta provoja nese banka e shpjegon qarte si ruhen te dhenat dhe si kontrollohen vendimet.
49,True,Professional / Expert,0.764,0.707,Femer,26-35,Bachelor,Student/e,Administrate publike,Durres,Credins Bank,3-5 vjet,Mobile banking (aplikacioni i bankes ne telefon)|Internet banking (permes kompjuterit/browserit)|Karta debiti/krediti per pagesa online,Disa here ne jave,4,Po,3.667,3.0,4.0,4.0,4.25,5,5,2,5,4,5,2,4,3,5,3,4,4,2,4,3,5,3,4,4,2,4,5,4,5,"Potenciali eshte i madh, por bankat duhet te forcojne qeverisjen e te dhenave dhe kontrollin rregullator."
